location_id,borough,zone,day_type,request_hour,dates_with_requests,possible_dates,dates_median_above_city,dates_long_share_above_city,min_daily_n,median_daily_n
3,Bronx,Allerton/Pelham Gardens,Weekday,11,22,22,8,6,57,74.0
3,Bronx,Allerton/Pelham Gardens,Weekday,12,22,22,13,1,55,78.0
3,Bronx,Allerton/Pelham Gardens,Weekday,13,22,22,5,3,55,80.0
3,Bronx,Allerton/Pelham Gardens,Weekday,14,22,22,8,6,71,112.0
3,Bronx,Allerton/Pelham Gardens,Weekday,15,22,22,6,4,80,101.0
3,Bronx,Allerton/Pelham Gardens,Weekday,16,22,22,5,5,70,95.0
3,Bronx,Allerton/Pelham Gardens,Weekday,17,22,22,5,3,74,93.0
3,Bronx,Allerton/Pelham Gardens,Weekday,18,22,22,6,2,56,78.0
3,Bronx,Allerton/Pelham Gardens,Weekday,19,22,22,15,7,53,73.5
3,Bronx,Allerton/Pelham Gardens,Weekday,20,22,22,16,3,49,66.0
3,Bronx,Allerton/Pelham Gardens,Weekday,21,22,22,13,9,46,63.5
3,Bronx,Allerton/Pelham Gardens,Weekday,22,22,22,12,12,55,67.0
3,Bronx,Allerton/Pelham Gardens,Weekday,23,22,22,17,9,45,62.0
3,Bronx,Allerton/Pelham Gardens,Weekend,0,8,8,4,4,38,47.5
3,Bronx,Allerton/Pelham Gardens,Weekend,1,8,8,5,5,25,38.5
3,Bronx,Allerton/Pelham Gardens,Weekend,2,8,8,5,2,16,26.0
3,Bronx,Allerton/Pelham Gardens,Weekend,3,8,8,7,4,12,16.5
3,Bronx,Allerton/Pelham Gardens,Weekend,4,8,8,4,5,16,20.5
3,Bronx,Allerton/Pelham Gardens,Weekend,5,8,8,6,1,18,26.5
3,Bronx,Allerton/Pelham Gardens,Weekend,6,8,8,8,7,37,45.0
3,Bronx,Allerton/Pelham Gardens,Weekend,7,8,8,6,2,43,59.0
3,Bronx,Allerton/Pelham Gardens,Weekend,8,8,8,3,2,51,61.0
3,Bronx,Allerton/Pelham Gardens,Weekend,9,8,8,4,3,58,70.5
3,Bronx,Allerton/Pelham Gardens,Weekend,10,8,8,6,1,67,84.5
3,Bronx,Allerton/Pelham Gardens,Weekend,11,8,8,3,1,67,85.5
3,Bronx,Allerton/Pelham Gardens,Weekend,12,8,8,1,1,50,82.0
3,Bronx,Allerton/Pelham Gardens,Weekend,13,8,8,3,0,72,88.0
3,Bronx,Allerton/Pelham Gardens,Weekend,14,8,8,4,3,72,100.0
3,Bronx,Allerton/Pelham Gardens,Weekend,15,8,8,1,2,84,95.5
3,Bronx,Allerton/Pelham Gardens,Weekend,16,8,8,0,1,69,82.5
3,Bronx,Allerton/Pelham Gardens,Weekend,17,8,8,1,0,42,79.5
3,Bronx,Allerton/Pelham Gardens,Weekend,18,8,8,6,4,64,84.0
3,Bronx,Allerton/Pelham Gardens,Weekend,19,8,8,7,3,61,79.5
3,Bronx,Allerton/Pelham Gardens,Weekend,20,8,8,7,6,67,79.5
3,Bronx,Allerton/Pelham Gardens,Weekend,21,8,8,8,8,56,75.0
3,Bronx,Allerton/Pelham Gardens,Weekend,22,8,8,7,7,72,85.5
3,Bronx,Allerton/Pelham Gardens,Weekend,23,8,8,8,7,56,77.5
4,Manhattan,Alphabet City,Weekday,0,22,22,6,7,20,46.5
4,Manhattan,Alphabet City,Weekday,1,22,22,12,10,21,36.0
4,Manhattan,Alphabet City,Weekday,2,22,22,13,8,11,18.5
4,Manhattan,Alphabet City,Weekday,3,22,22,7,7,7,15.5
4,Manhattan,Alphabet City,Weekday,4,22,22,10,11,17,28.0
4,Manhattan,Alphabet City,Weekday,5,22,22,14,14,24,37.5
4,Manhattan,Alphabet City,Weekday,6,22,22,20,21,49,63.5
4,Manhattan,Alphabet City,Weekday,7,22,22,22,19,49,81.5
4,Manhattan,Alphabet City,Weekday,8,22,22,22,21,63,93.5
4,Manhattan,Alphabet City,Weekday,9,22,22,22,13,75,99.0
4,Manhattan,Alphabet City,Weekday,10,22,22,14,5,54,71.0
4,Manhattan,Alphabet City,Weekday,11,22,22,13,11,43,61.5
4,Manhattan,Alphabet City,Weekday,12,22,22,15,10,40,57.5
4,Manhattan,Alphabet City,Weekday,13,22,22,10,6,37,59.5
4,Manhattan,Alphabet City,Weekday,14,22,22,14,9,48,58.5
4,Manhattan,Alphabet City,Weekday,15,22,22,19,13,40,58.0
4,Manhattan,Alphabet City,Weekday,16,22,22,15,6,41,54.0
4,Manhattan,Alphabet City,Weekday,17,22,22,7,11,47,66.0
4,Manhattan,Alphabet City,Weekday,18,22,22,15,13,55,77.5
4,Manhattan,Alphabet City,Weekday,19,22,22,16,6,45,76.0
4,Manhattan,Alphabet City,Weekday,20,22,22,4,5,46,69.0
4,Manhattan,Alphabet City,Weekday,21,22,22,1,1,36,86.0
4,Manhattan,Alphabet City,Weekday,22,22,22,4,5,46,85.5
4,Manhattan,Alphabet City,Weekday,23,22,22,6,8,34,69.5
4,Manhattan,Alphabet City,Weekend,0,8,8,4,2,169,208.0
4,Manhattan,Alphabet City,Weekend,1,8,8,5,3,162,210.0
4,Manhattan,Alphabet City,Weekend,2,8,8,3,3,132,165.5
4,Manhattan,Alphabet City,Weekend,3,8,8,0,0,77,102.0
4,Manhattan,Alphabet City,Weekend,4,8,8,1,2,50,61.0
4,Manhattan,Alphabet City,Weekend,5,8,8,4,4,32,35.0
4,Manhattan,Alphabet City,Weekend,6,8,8,1,1,35,46.5
4,Manhattan,Alphabet City,Weekend,7,8,8,5,1,37,46.0
4,Manhattan,Alphabet City,Weekend,8,8,8,8,6,48,59.0
4,Manhattan,Alphabet City,Weekend,9,8,8,7,6,71,74.0
4,Manhattan,Alphabet City,Weekend,10,8,8,6,4,76,89.5
4,Manhattan,Alphabet City,Weekend,11,8,8,6,4,75,105.0
4,Manhattan,Alphabet City,Weekend,12,8,8,8,7,74,98.0
4,Manhattan,Alphabet City,Weekend,13,8,8,6,4,79,86.0
4,Manhattan,Alphabet City,Weekend,14,8,8,6,6,65,89.5
4,Manhattan,Alphabet City,Weekend,15,8,8,5,5,60,80.5
4,Manhattan,Alphabet City,Weekend,16,8,8,5,4,70,92.0
4,Manhattan,Alphabet City,Weekend,17,8,8,4,3,71,106.0
4,Manhattan,Alphabet City,Weekend,18,8,8,2,4,68,99.0
4,Manhattan,Alphabet City,Weekend,19,8,8,1,0,66,114.5
4,Manhattan,Alphabet City,Weekend,20,8,8,0,1,68,124.0
4,Manhattan,Alphabet City,Weekend,21,8,8,0,0,65,127.0
4,Manhattan,Alphabet City,Weekend,22,8,8,1,1,57,121.5
4,Manhattan,Alphabet City,Weekend,23,8,8,1,1,50,116.0
5,Staten Island,Arden Heights,Weekday,0,22,22,21,11,1,2.0
5,Staten Island,Arden Heights,Weekday,1,14,22,14,8,1,1.5
5,Staten Island,Arden Heights,Weekday,2,12,22,12,9,1,2.0
5,Staten Island,Arden Heights,Weekday,3,22,22,18,10,1,2.0
5,Staten Island,Arden Heights,Weekday,4,22,22,15,12,1,3.0
5,Staten Island,Arden Heights,Weekday,5,22,22,22,21,2,7.0
5,Staten Island,Arden Heights,Weekday,6,22,22,22,20,8,16.0
5,Staten Island,Arden Heights,Weekday,7,22,22,19,17,7,15.0
5,Staten Island,Arden Heights,Weekday,8,22,22,15,20,9,16.5
5,Staten Island,Arden Heights,Weekday,9,22,22,22,20,7,13.0
5,Staten Island,Arden Heights,Weekday,10,22,22,22,17,7,10.0
5,Staten Island,Arden Heights,Weekday,11,22,22,21,15,3,10.5
5,Staten Island,Arden Heights,Weekday,12,22,22,20,18,4,10.0
5,Staten Island,Arden Heights,Weekday,13,22,22,20,19,4,9.0
5,Staten Island,Arden Heights,Weekday,14,22,22,21,16,7,10.5
5,Staten Island,Arden Heights,Weekday,15,22,22,16,13,4,11.0
5,Staten Island,Arden Heights,Weekday,16,22,22,21,17,5,12.0
5,Staten Island,Arden Heights,Weekday,17,22,22,20,11,3,9.0
5,Staten Island,Arden Heights,Weekday,18,22,22,21,17,2,10.0
5,Staten Island,Arden Heights,Weekday,19,22,22,21,14,2,6.0
5,Staten Island,Arden Heights,Weekday,20,21,22,21,14,1,7.0
5,Staten Island,Arden Heights,Weekday,21,22,22,21,18,2,5.5
5,Staten Island,Arden Heights,Weekday,22,22,22,18,14,1,3.5
5,Staten Island,Arden Heights,Weekday,23,21,22,20,11,1,4.0
5,Staten Island,Arden Heights,Weekend,0,8,8,8,6,3,7.5
5,Staten Island,Arden Heights,Weekend,1,8,8,8,4,1,7.5
5,Staten Island,Arden Heights,Weekend,2,7,8,7,6,4,6.0
5,Staten Island,Arden Heights,Weekend,3,8,8,8,6,3,9.0
5,Staten Island,Arden Heights,Weekend,4,8,8,7,6,2,5.5
5,Staten Island,Arden Heights,Weekend,5,8,8,8,8,4,5.0
5,Staten Island,Arden Heights,Weekend,6,8,8,7,5,4,7.0
5,Staten Island,Arden Heights,Weekend,7,8,8,6,7,4,8.5
5,Staten Island,Arden Heights,Weekend,8,8,8,8,7,4,12.5
5,Staten Island,Arden Heights,Weekend,9,8,8,8,8,6,10.5
5,Staten Island,Arden Heights,Weekend,10,8,8,8,8,8,12.5
5,Staten Island,Arden Heights,Weekend,11,8,8,8,7,5,9.0
5,Staten Island,Arden Heights,Weekend,12,8,8,7,8,4,12.0
5,Staten Island,Arden Heights,Weekend,13,8,8,5,5,7,9.0
5,Staten Island,Arden Heights,Weekend,14,8,8,8,7,6,9.5
5,Staten Island,Arden Heights,Weekend,15,8,8,8,8,6,9.0
5,Staten Island,Arden Heights,Weekend,16,8,8,7,5,5,10.5
5,Staten Island,Arden Heights,Weekend,17,8,8,7,5,5,10.5
5,Staten Island,Arden Heights,Weekend,18,8,8,8,8,3,11.0
5,Staten Island,Arden Heights,Weekend,19,8,8,8,7,8,10.0
5,Staten Island,Arden Heights,Weekend,20,8,8,8,7,3,8.0
5,Staten Island,Arden Heights,Weekend,21,8,8,7,8,4,7.0
5,Staten Island,Arden Heights,Weekend,22,8,8,8,5,2,5.5
5,Staten Island,Arden Heights,Weekend,23,8,8,7,7,2,4.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,0,22,22,21,16,3,5.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,1,22,22,18,12,3,5.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,2,21,22,18,7,1,2.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,3,20,22,14,9,1,2.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,4,22,22,18,17,1,5.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,5,22,22,20,19,4,9.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,6,22,22,21,10,10,14.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,7,22,22,17,14,11,22.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,8,22,22,16,9,23,37.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,9,22,22,14,12,18,29.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,10,22,22,20,13,14,26.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,11,22,22,14,13,16,23.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,12,22,22,15,18,10,24.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,13,22,22,19,18,14,24.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,14,22,22,19,15,15,32.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,15,22,22,14,16,17,24.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,16,22,22,10,14,17,24.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,17,22,22,16,15,16,22.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,18,22,22,21,17,12,20.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,19,22,22,21,17,9,16.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,20,22,22,19,19,6,13.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,21,22,22,20,14,6,14.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,22,22,22,17,17,6,15.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekday,23,22,22,20,18,6,12.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,0,8,8,6,8,9,11.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,1,8,8,6,6,3,10.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,2,8,8,6,5,2,6.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,3,8,8,4,4,3,4.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,4,8,8,6,5,3,4.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,5,8,8,6,5,5,9.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,6,8,8,4,4,9,12.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,7,8,8,8,7,9,12.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,8,8,8,8,5,6,14.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,9,8,8,6,3,15,19.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,10,8,8,7,5,11,19.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,11,8,8,7,7,15,21.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,12,8,8,6,5,18,24.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,13,8,8,4,6,8,16.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,14,8,8,5,6,14,22.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,15,8,8,6,7,8,20.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,16,8,8,8,6,14,20.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,17,8,8,6,7,11,21.0
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,18,8,8,6,4,12,21.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,19,8,8,7,8,10,18.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,20,8,8,6,6,10,17.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,21,8,8,7,7,12,16.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,22,8,8,8,8,12,15.5
6,Staten Island,Arrochar/Fort Wadsworth,Weekend,23,8,8,7,8,6,13.5
7,Queens,Astoria,Weekday,0,22,22,2,0,120,166.5
7,Queens,Astoria,Weekday,1,22,22,0,0,82,120.0
7,Queens,Astoria,Weekday,2,22,22,1,0,49,90.5
7,Queens,Astoria,Weekday,3,22,22,1,0,56,86.0
7,Queens,Astoria,Weekday,4,22,22,0,0,86,118.0
7,Queens,Astoria,Weekday,5,22,22,0,0,156,181.0
7,Queens,Astoria,Weekday,6,22,22,0,0,219,261.0
7,Queens,Astoria,Weekday,7,22,22,0,0,267,360.5
7,Queens,Astoria,Weekday,8,22,22,1,1,314,377.5
7,Queens,Astoria,Weekday,9,22,22,2,0,263,293.0
7,Queens,Astoria,Weekday,10,22,22,1,1,204,242.0
7,Queens,Astoria,Weekday,11,22,22,2,1,175,210.0
7,Queens,Astoria,Weekday,12,22,22,0,0,165,206.0
7,Queens,Astoria,Weekday,13,22,22,3,0,191,225.5
7,Queens,Astoria,Weekday,14,22,22,0,0,189,242.5
7,Queens,Astoria,Weekday,15,22,22,0,0,180,240.0
7,Queens,Astoria,Weekday,16,22,22,0,0,211,253.5
7,Queens,Astoria,Weekday,17,22,22,0,0,246,286.0
7,Queens,Astoria,Weekday,18,22,22,0,0,256,325.5
7,Queens,Astoria,Weekday,19,22,22,1,0,222,288.5
7,Queens,Astoria,Weekday,20,22,22,0,0,210,295.0
7,Queens,Astoria,Weekday,21,22,22,0,0,228,320.0
7,Queens,Astoria,Weekday,22,22,22,0,0,229,302.0
7,Queens,Astoria,Weekday,23,22,22,1,1,172,246.5
7,Queens,Astoria,Weekend,0,8,8,0,0,377,488.0
7,Queens,Astoria,Weekend,1,8,8,0,0,333,373.0
7,Queens,Astoria,Weekend,2,8,8,0,0,259,293.0
7,Queens,Astoria,Weekend,3,8,8,1,1,208,284.5
7,Queens,Astoria,Weekend,4,8,8,4,4,197,213.5
7,Queens,Astoria,Weekend,5,8,8,0,0,138,166.5
7,Queens,Astoria,Weekend,6,8,8,0,0,155,201.0
7,Queens,Astoria,Weekend,7,8,8,0,0,163,226.5
7,Queens,Astoria,Weekend,8,8,8,0,0,206,275.5
7,Queens,Astoria,Weekend,9,8,8,0,0,263,335.0
7,Queens,Astoria,Weekend,10,8,8,2,0,317,393.5
7,Queens,Astoria,Weekend,11,8,8,1,0,328,412.5
7,Queens,Astoria,Weekend,12,8,8,1,0,354,434.5
7,Queens,Astoria,Weekend,13,8,8,1,1,365,481.0
7,Queens,Astoria,Weekend,14,8,8,1,0,348,441.0
7,Queens,Astoria,Weekend,15,8,8,0,0,352,420.5
7,Queens,Astoria,Weekend,16,8,8,0,0,338,379.5
7,Queens,Astoria,Weekend,17,8,8,0,0,333,375.5
7,Queens,Astoria,Weekend,18,8,8,0,0,316,432.5
7,Queens,Astoria,Weekend,19,8,8,0,0,310,423.5
7,Queens,Astoria,Weekend,20,8,8,1,0,317,440.0
7,Queens,Astoria,Weekend,21,8,8,1,0,342,461.5
7,Queens,Astoria,Weekend,22,8,8,1,0,285,427.0
7,Queens,Astoria,Weekend,23,8,8,0,0,218,391.5
8,Queens,Astoria Park,Weekday,0,7,22,2,0,1,1.0
8,Queens,Astoria Park,Weekday,1,7,22,4,0,1,1.0
8,Queens,Astoria Park,Weekday,2,4,22,4,0,1,1.0
8,Queens,Astoria Park,Weekday,3,1,22,1,0,1,1.0
8,Queens,Astoria Park,Weekday,4,2,22,1,0,1,1.0
8,Queens,Astoria Park,Weekday,5,4,22,2,0,1,1.5
8,Queens,Astoria Park,Weekday,6,10,22,5,2,1,1.0
8,Queens,Astoria Park,Weekday,7,14,22,2,1,1,2.0
8,Queens,Astoria Park,Weekday,8,13,22,3,1,1,1.0
8,Queens,Astoria Park,Weekday,9,14,22,4,0,1,1.0
8,Queens,Astoria Park,Weekday,10,8,22,3,0,1,1.5
8,Queens,Astoria Park,Weekday,11,12,22,3,0,1,1.0
8,Queens,Astoria Park,Weekday,12,11,22,3,0,1,1.0
8,Queens,Astoria Park,Weekday,13,16,22,2,1,1,1.5
8,Queens,Astoria Park,Weekday,14,15,22,6,3,1,1.0
8,Queens,Astoria Park,Weekday,15,15,22,6,1,1,1.0
8,Queens,Astoria Park,Weekday,16,19,22,10,1,1,1.0
8,Queens,Astoria Park,Weekday,17,19,22,5,1,1,2.0
8,Queens,Astoria Park,Weekday,18,19,22,12,1,1,3.0
8,Queens,Astoria Park,Weekday,19,22,22,14,2,1,2.5
8,Queens,Astoria Park,Weekday,20,18,22,10,2,1,2.5
8,Queens,Astoria Park,Weekday,21,20,22,9,4,1,2.0
8,Queens,Astoria Park,Weekday,22,16,22,7,1,1,1.0
8,Queens,Astoria Park,Weekday,23,10,22,7,1,1,1.0
8,Queens,Astoria Park,Weekend,0,4,8,2,0,1,1.0
8,Queens,Astoria Park,Weekend,1,2,8,1,0,1,1.0
8,Queens,Astoria Park,Weekend,2,1,8,0,0,1,1.0
8,Queens,Astoria Park,Weekend,3,2,8,1,0,1,1.0
8,Queens,Astoria Park,Weekend,4,1,8,0,0,1,1.0
8,Queens,Astoria Park,Weekend,5,1,8,0,0,3,3.0
8,Queens,Astoria Park,Weekend,6,2,8,1,0,1,1.0
8,Queens,Astoria Park,Weekend,7,2,8,0,0,1,1.0
8,Queens,Astoria Park,Weekend,8,3,8,1,0,1,1.0
8,Queens,Astoria Park,Weekend,9,5,8,3,1,1,1.0
8,Queens,Astoria Park,Weekend,10,7,8,3,0,1,2.0
8,Queens,Astoria Park,Weekend,11,3,8,0,0,1,3.0
8,Queens,Astoria Park,Weekend,12,8,8,4,1,1,1.5
8,Queens,Astoria Park,Weekend,13,6,8,2,1,1,2.5
8,Queens,Astoria Park,Weekend,14,5,8,1,1,1,3.0
8,Queens,Astoria Park,Weekend,15,6,8,3,2,2,4.5
8,Queens,Astoria Park,Weekend,16,8,8,4,0,1,3.0
8,Queens,Astoria Park,Weekend,17,6,8,4,2,2,5.5
8,Queens,Astoria Park,Weekend,18,6,8,2,3,2,4.5
8,Queens,Astoria Park,Weekend,19,7,8,5,2,1,2.0
8,Queens,Astoria Park,Weekend,20,6,8,3,1,1,2.0
8,Queens,Astoria Park,Weekend,21,7,8,5,2,1,2.0
8,Queens,Astoria Park,Weekend,22,3,8,1,0,1,1.0
8,Queens,Astoria Park,Weekend,23,1,8,1,1,2,2.0
9,Queens,Auburndale,Weekday,0,22,22,19,16,6,11.0
9,Queens,Auburndale,Weekday,1,22,22,17,11,1,5.0
9,Queens,Auburndale,Weekday,2,22,22,19,8,1,3.5
9,Queens,Auburndale,Weekday,3,22,22,17,13,2,6.0
9,Queens,Auburndale,Weekday,4,22,22,17,12,1,7.0
9,Queens,Auburndale,Weekday,5,22,22,17,16,6,9.5
9,Queens,Auburndale,Weekday,6,22,22,13,10,8,17.5
9,Queens,Auburndale,Weekday,7,22,22,11,7,17,43.0
9,Queens,Auburndale,Weekday,8,22,22,6,4,35,51.5
9,Queens,Auburndale,Weekday,9,22,22,7,4,19,35.0
9,Queens,Auburndale,Weekday,10,22,22,12,7,27,36.0
9,Queens,Auburndale,Weekday,11,22,22,15,9,27,36.0
9,Queens,Auburndale,Weekday,12,22,22,15,11,17,34.0
9,Queens,Auburndale,Weekday,13,22,22,9,11,19,35.5
9,Queens,Auburndale,Weekday,14,22,22,14,10,19,47.5
9,Queens,Auburndale,Weekday,15,22,22,13,10,29,43.5
9,Queens,Auburndale,Weekday,16,22,22,10,6,31,41.0
9,Queens,Auburndale,Weekday,17,22,22,10,9,28,34.0
9,Queens,Auburndale,Weekday,18,22,22,10,7,28,33.5
9,Queens,Auburndale,Weekday,19,22,22,16,10,24,31.5
9,Queens,Auburndale,Weekday,20,22,22,16,11,14,21.5
9,Queens,Auburndale,Weekday,21,22,22,16,7,9,20.0
9,Queens,Auburndale,Weekday,22,22,22,15,11,11,21.5
9,Queens,Auburndale,Weekday,23,22,22,15,11,6,16.0
9,Queens,Auburndale,Weekend,0,8,8,4,3,14,21.0
9,Queens,Auburndale,Weekend,1,8,8,6,5,7,15.0
9,Queens,Auburndale,Weekend,2,8,8,6,4,6,11.5
9,Queens,Auburndale,Weekend,3,8,8,6,6,4,10.0
9,Queens,Auburndale,Weekend,4,8,8,3,3,5,9.0
9,Queens,Auburndale,Weekend,5,8,8,7,2,7,10.0
9,Queens,Auburndale,Weekend,6,8,8,5,4,11,13.0
9,Queens,Auburndale,Weekend,7,8,8,3,1,6,17.0
9,Queens,Auburndale,Weekend,8,8,8,4,0,17,28.0
9,Queens,Auburndale,Weekend,9,8,8,4,3,28,33.5
9,Queens,Auburndale,Weekend,10,8,8,4,4,24,30.5
9,Queens,Auburndale,Weekend,11,8,8,4,1,29,33.5
9,Queens,Auburndale,Weekend,12,8,8,2,2,22,31.5
9,Queens,Auburndale,Weekend,13,8,8,1,3,14,25.5
9,Queens,Auburndale,Weekend,14,8,8,0,0,17,30.5
9,Queens,Auburndale,Weekend,15,8,8,3,2,23,26.5
9,Queens,Auburndale,Weekend,16,8,8,3,2,25,30.0
9,Queens,Auburndale,Weekend,17,8,8,4,2,16,30.0
9,Queens,Auburndale,Weekend,18,8,8,4,4,18,26.5
9,Queens,Auburndale,Weekend,19,8,8,5,3,17,28.5
9,Queens,Auburndale,Weekend,20,8,8,7,6,16,27.5
9,Queens,Auburndale,Weekend,21,8,8,8,7,18,26.0
9,Queens,Auburndale,Weekend,22,8,8,6,4,15,26.0
9,Queens,Auburndale,Weekend,23,8,8,8,6,9,23.0
10,Queens,Baisley Park,Weekday,0,22,22,20,11,24,39.5
10,Queens,Baisley Park,Weekday,1,22,22,21,15,16,24.0
10,Queens,Baisley Park,Weekday,2,22,22,21,17,10,19.0
10,Queens,Baisley Park,Weekday,3,22,22,18,13,19,29.0
10,Queens,Baisley Park,Weekday,4,22,22,7,5,40,52.0
10,Queens,Baisley Park,Weekday,5,22,22,9,7,56,75.5
10,Queens,Baisley Park,Weekday,6,22,22,12,10,99,138.5
10,Queens,Baisley Park,Weekday,7,22,22,20,18,127,243.0
10,Queens,Baisley Park,Weekday,8,22,22,15,12,164,205.0
10,Queens,Baisley Park,Weekday,9,22,22,18,16,120,147.5
10,Queens,Baisley Park,Weekday,10,22,22,20,12,70,108.0
10,Queens,Baisley Park,Weekday,11,22,22,20,11,79,95.0
10,Queens,Baisley Park,Weekday,12,22,22,14,7,80,93.5
10,Queens,Baisley Park,Weekday,13,22,22,16,9,96,113.0
10,Queens,Baisley Park,Weekday,14,22,22,8,5,83,121.0
10,Queens,Baisley Park,Weekday,15,22,22,7,3,90,122.0
10,Queens,Baisley Park,Weekday,16,22,22,5,0,91,119.5
10,Queens,Baisley Park,Weekday,17,22,22,3,2,83,111.5
10,Queens,Baisley Park,Weekday,18,22,22,7,2,66,88.0
10,Queens,Baisley Park,Weekday,19,22,22,10,4,56,80.0
10,Queens,Baisley Park,Weekday,20,22,22,18,6,54,72.5
10,Queens,Baisley Park,Weekday,21,22,22,12,6,47,70.5
10,Queens,Baisley Park,Weekday,22,22,22,15,9,58,74.0
10,Queens,Baisley Park,Weekday,23,22,22,17,10,40,66.0
10,Queens,Baisley Park,Weekend,0,8,8,4,4,71,81.5
