adsh,cik,company_name,sic,form,fiscal_year,fiscal_period,filing_period,current_period,prior_period,period_gap_days,filed_date,revenue_tag,revenue_unit,revenue_current,revenue_prior,revenue_change,revenue_change_pct,net_income_tag,net_income_unit,net_income_current,net_income_prior,net_income_change,net_income_change_pct,net_margin_current_pct,net_margin_prior_pct,net_margin_change_pp,operating_income_tag,operating_income_unit,operating_income_current,operating_income_prior,operating_income_change,operating_income_change_pct,operating_margin_current_pct,operating_margin_prior_pct,operating_margin_change_pp,profitability_measure_coverage,trend_classification,classification_rule
0000104169-26-000055,0000104169,WALMART INC.,5331,10-K,2026,FY,2026-01-31,2026-01-31,2025-01-31,365,2026-03-13,RevenueFromContractWithCustomerExcludingAssessedTax,USD,706413000000.0,674538000000.0,31875000000.0,4.725456534694858,NetIncomeLoss,USD,21893000000.0,19436000000.0,2457000000.0,12.64149001852233,3.0991785258765057,2.881379551633859,0.21779897424264658,OperatingIncomeLoss,USD,29825000000.0,29348000000.0,477000000.0,101.62532370178548,4.222034418958881,4.350829753105089,-0.12879533414620753,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000703604-26-000008,0000703604,"DISTRIBUTION SOLUTIONS GROUP, INC.",5080,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-05,Revenues,USD,1980023000.0,1804104000.0,175919000.0,9.751045394278822,NetIncomeLoss,USD,8345000.0,-7332000.0,15677000.0,213.81614839061646,0.4214597507200674,-0.40640672599805777,0.8278664767181251,OperatingIncomeLoss,USD,78263000.0,55955000.0,22308000.0,139.8677508712358,3.952630853277967,3.101539600821239,0.8510912524567285,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000796343-26-000003,0000796343,ADOBE INC.,7372,10-K,2025,FY,2025-11-30,2025-11-30,2024-11-30,365,2026-01-15,Revenues,USD,23769000000.0,21505000000.0,2264000000.0,10.527784236224134,NetIncomeLoss,USD,7130000000.0,5560000000.0,1570000000.0,28.237410071942445,29.997054987588875,25.854452452917926,4.142602534670953,OperatingIncomeLoss,USD,8706000000.0,6741000000.0,1965000000.0,129.1499777481086,36.62754007320459,31.34619855847477,5.281341514729821,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000811156-26-000004,0000811156,CMS ENERGY CORP,4931,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-10,Revenues,USD,8539000000.0,7515000000.0,1024000000.0,13.62608117099135,NetIncomeLoss,USD,1071000000.0,1003000000.0,68000000.0,6.779661016949152,12.542452277784284,13.34664005322688,-0.8041877754425969,OperatingIncomeLoss,USD,1727000000.0,1487000000.0,240000000.0,116.13987895090787,20.22485068509193,19.78709248170326,0.437758203388669,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000813672-26-000016,0000813672,CADENCE DESIGN SYSTEMS INC,7372,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-19,RevenueFromContractWithCustomerExcludingAssessedTax,USD,5296759000.0,4641264000.0,655495000.0,14.123200059294192,NetIncomeLoss,USD,1108888000.0,1055484000.0,53404000.0,5.059669308108886,20.935217177145496,22.741304954857124,-1.806087777711629,OperatingIncomeLoss,USD,1492042000.0,1350763000.0,141279000.0,110.45919972637687,28.168961434718852,29.10334339955667,-0.9343819648378215,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000879169-26-000010,0000879169,INCYTE CORP,8731,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-10,RevenueFromContractWithCustomerExcludingAssessedTax,USD,5141242000.0,4241217000.0,900025000.0,21.220913714153273,NetIncomeLoss,USD,1286650000.0,32615000.0,1254035000.0,3844.9639736317645,25.02605401574172,0.769000973069758,24.257053042671963,OperatingIncomeLoss,USD,1514859000.0,61366000.0,1453493000.0,2468.564025681974,29.46484526501573,1.446896020646904,28.01794924436883,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000891482-26-000007,0000891482,FULL HOUSE RESORTS INC,7011,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-16,RevenueFromContractWithCustomerExcludingAssessedTax,USD,302376000.0,292065000.0,10311000.0,3.5303785116326845,NetIncomeLoss,USD,-40197000.0,-40672000.0,475000.0,1.1678796223446106,-13.293713786808476,-13.925667231609403,0.6319534448009229,OperatingIncomeLoss,USD,3124000.0,2750000.0,374000.0,113.6,1.0331507791623673,0.9415712255833462,0.09157955357902113,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000912562-26-000025,0000912562,"GIBRALTAR INDUSTRIES, INC.",3310,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-26,Revenues,USD,1135501000.0,1023359000.0,112142000.0,10.958226780631234,NetIncomeLoss,USD,-44388000.0,137340000.0,-181728000.0,-132.31979030144169,-3.9091114847102735,13.42051029990453,-17.329621784614805,OperatingIncomeLoss,USD,122751000.0,139674000.0,-16923000.0,87.8839297220671,10.810294310617076,13.648582755416232,-2.838288444799157,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000926326-26-000006,0000926326,"OMNICELL, INC.",3571,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-26,RevenueFromContractWithCustomerExcludingAssessedTax,USD,1184845000.0,1112238000.0,72607000.0,6.528009292975065,NetIncomeLoss,USD,2052000.0,12531000.0,-10479000.0,-83.62461096480727,0.1731872101414109,1.1266473542533162,-0.9534601441119055,OperatingIncomeLoss,USD,5160000.0,337000.0,4823000.0,1531.1572700296736,0.43550000210998063,0.030299270479879306,0.4052007316301013,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000950157-26-000397,0001386716,STAR BULK CARRIERS CORP.,4412,20-F,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-19,Revenues,USD,1042499000.0,1265458000.0,-222959000.0,-17.618838396849203,NetIncomeLoss,USD,84174000.0,304654000.0,-220480000.0,-72.37062372396227,8.074252349402734,24.074603819328654,-16.00035146992592,OperatingIncomeLoss,USD,136870000.0,382996000.0,-246126000.0,35.73666565708258,13.129029380363914,30.265405884667842,-17.136376504303932,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001000753-26-000011,0001000753,"INSPERITY, INC.",7363,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-11,RevenueFromContractWithCustomerExcludingAssessedTax,USD,6812000000.0,6581000000.0,231000000.0,3.5101048472876464,NetIncomeLoss,USD,-7000000.0,91000000.0,-98000000.0,-107.6923076923077,-0.10275983558426306,1.3827685762042243,-1.4855284117884873,OperatingIncomeLoss,USD,-10000000.0,117000000.0,-127000000.0,-8.547008547008547,-0.14679976512037582,1.7778453122625741,-1.9246450773829498,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001014739-26-000008,0001014739,"OPTION CARE HEALTH, INC.",8082,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-24,RevenueFromContractWithCustomerExcludingAssessedTax,USD,5649519000.0,4998202000.0,651317000.0,13.031025956934114,NetIncomeLoss,USD,207585000.0,211823000.0,-4238000.0,-2.000727022089197,3.6743836068167925,4.237983979038862,-0.56360037222207,OperatingIncomeLoss,USD,337906000.0,321833000.0,16073000.0,104.99420506908862,5.981146359539635,6.438975455573824,-0.4578290960341888,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001031308-26-000007,0001031308,BENTLEY SYSTEMS INC,7372,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-26,RevenueFromContractWithCustomerExcludingAssessedTax,USD,1501779000.0,1353095000.0,148684000.0,10.988437618940281,NetIncomeLoss,USD,277861000.0,234787000.0,43074000.0,18.345990195368568,18.502123148612412,17.351848909352263,1.150274239260149,OperatingIncomeLoss,USD,362621000.0,302150000.0,60471000.0,120.01356941916266,24.146096063402137,22.33028723038663,1.815808833015506,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001040896-26-000009,0001040896,"INTELLICHECK, INC.",7372,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-19,RevenueFromContractWithCustomerExcludingAssessedTax,USD,22666000.0,19997000.0,2669000.0,13.347002050307546,NetIncomeLoss,USD,1273000.0,-918000.0,2191000.0,238.67102396514161,5.616341657107562,-4.590688603290493,10.207030260398056,OperatingIncomeLoss,USD,1086000.0,-1168000.0,2254000.0,92.97945205479452,4.791317391687991,-5.840876131419713,10.632193523107704,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001050797-26-000028,0001050797,COLUMBIA SPORTSWEAR CO,2300,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-25,RevenueFromContractWithCustomerExcludingAssessedTax,USD,3397351000.0,3368582000.0,28769000.0,0.8540388804547433,NetIncomeLoss,USD,177224000.0,223273000.0,-46049000.0,-20.624526924437795,5.2165348826188405,6.62810048857353,-1.4115656059546906,OperatingIncomeLoss,USD,207039000.0,270741000.0,-63702000.0,76.47124004122021,6.094130397477329,8.037239408154528,-1.9431090106772013,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001061219-26-000006,0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,4922,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-27,Revenues,USD,52596000000.0,56219000000.0,-3623000000.0,-6.444440491648731,NetIncomeLoss,USD,5810000000.0,5897000000.0,-87000000.0,-1.4753264371714432,11.046467411970491,10.489336345363666,0.5571310666068252,OperatingIncomeLoss,USD,7266000000.0,7338000000.0,-72000000.0,99.01880621422731,13.814738763404062,13.052526725840018,0.7622120375640418,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001062822-26-000050,0001062822,"LEXICON PHARMACEUTICALS, INC.",2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-05,Revenues,USD,49803000.0,31081000.0,18722000.0,60.23615713780123,NetIncomeLoss,USD,-50341000.0,-200403000.0,150062000.0,74.88011656512128,-101.08025620946529,-644.7765515910041,543.6962953815389,OperatingIncomeLoss,USD,-48911000.0,-197117000.0,148206000.0,-24.813182018801015,-98.20894323635122,-634.2041761848075,535.9952329484562,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001064728-26-000006,0001064728,PEABODY ENERGY CORP,1221,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-19,Revenues,USD,3861500000.0,4236700000.0,-375200000.0,-8.855949205749758,ProfitLoss,USD,-42500000.0,403500000.0,-446000000.0,-110.53283767038414,-1.100608571798524,9.523921920362547,-10.624530492161071,OperatingIncomeLoss,USD,-80100000.0,445300000.0,-525400000.0,-17.98787334381316,-2.0743234494367475,10.510538862794157,-12.584862312230902,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001071255-26-000015,0001071255,"GOLDEN ENTERTAINMENT, INC.",7990,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-27,Revenues,USD,634911000.0,666818000.0,-31907000.0,-4.7849638132144,NetIncomeLoss,USD,-6043000.0,50731000.0,-56774000.0,-111.91184877096845,-0.9517869433668656,7.607923001478665,-8.55970994484553,OperatingIncomeLoss,USD,21531000.0,112124000.0,-90593000.0,19.202846848132424,3.3911839612166115,16.814783044248955,-13.423599083032341,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001084048-26-000005,0001084048,"ZIFF DAVIS, INC.",4822,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-24,RevenueFromContractWithCustomerExcludingAssessedTax,USD,1451268000.0,1401688000.0,49580000.0,3.537163762549155,NetIncomeLoss,USD,47354000.0,63047000.0,-15693000.0,-24.890954367376718,3.2629397189216602,4.497933919673993,-1.2349942007523325,OperatingIncomeLoss,USD,183086000.0,113648000.0,69438000.0,161.09918344361537,12.61558857495652,8.107938428523322,4.507650146433198,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001089063-26-000007,0001089063,"DICK'S SPORTING GOODS, INC.",5940,10-K,2025,FY,2026-01-31,2026-01-31,2025-01-31,365,2026-03-27,RevenueFromContractWithCustomerExcludingAssessedTax,USD,17215120000.0,13442849000.0,3772271000.0,28.061544096790794,NetIncomeLoss,USD,849239000.0,1165308000.0,-316069000.0,-27.123215493242988,4.9330995078744735,8.66860886408826,-3.7355093562137878,OperatingIncomeLoss,USD,1095909000.0,1473932000.0,-378023000.0,74.35275168732343,6.365967823634108,10.964431721281702,-4.598463897647593,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001091667-26-000017,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",4841,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-01-30,Revenues,USD,54774000000.0,55085000000.0,-311000000.0,-0.5645820096214941,NetIncomeLoss,USD,4987000000.0,5083000000.0,-96000000.0,-1.888648435963014,9.104684704421805,9.227557411273487,-0.12287270685168022,OperatingIncomeLoss,USD,12908000000.0,13118000000.0,-210000000.0,98.3991462113127,23.565925439076935,23.814105473359355,-0.2481800342824192,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001099800-26-000009,0001099800,EDWARDS LIFESCIENCES CORP,3842,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-25,RevenueFromContractWithCustomerExcludingAssessedTax,USD,6067600000.0,5439500000.0,628100000.0,11.54701718907988,NetIncomeLoss,USD,1073500000.0,4174600000.0,-3101100000.0,-74.28496143343075,17.692333047663,76.74602445077673,-59.05369140311373,OperatingIncomeLoss,USD,1264200000.0,1378700000.0,-114500000.0,91.69507507071879,20.835256114443933,25.34607960290468,-4.510823488460749,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001104659-26-003786,0001133470,CALAVO GROWERS INC,0700,10-K,2025,FY,2025-10-31,2025-10-31,2024-10-31,365,2026-01-14,RevenueFromContractWithCustomerExcludingAssessedTax,USD,648434000.0,661544000.0,-13110000.0,-1.981727594838741,NetIncomeLoss,USD,19796000.0,-1076000.0,20872000.0,1939.7769516728624,3.052893586702733,-0.1626498010714329,3.215543387774166,OperatingIncomeLoss,USD,19611000.0,16723000.0,2888000.0,117.26962865514561,3.024363312226071,2.5278741852393796,0.49648912698669123,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001104659-26-018859,0001802665,"HARMONY BIOSCIENCES HOLDINGS, INC.",2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-24,RevenueFromContractWithCustomerExcludingAssessedTax,USD,868453000.0,714734000.0,153719000.0,21.507162105062864,NetIncomeLoss,USD,158687000.0,145493000.0,13194000.0,9.068477521255318,18.272376282884622,20.356244421001378,-2.083868138116757,OperatingIncomeLoss,USD,208469000.0,190826000.0,17643000.0,109.24559546393048,24.00463813240325,26.698883780539333,-2.6942456481360844,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001104659-26-023561,0002009684,SEAPORT ENTERTAINMENT GROUP INC.,7990,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-04,RevenueFromContractWithCustomerExcludingAssessedTax,USD,130408000.0,110223000.0,20185000.0,18.312874808343086,NetIncomeLoss,USD,-116742000.0,-153212000.0,36470000.0,23.803618515520977,-89.52058155941353,-139.00184172087495,49.481260161461414,OperatingIncomeLoss,USD,-118151000.0,-102186000.0,-15965000.0,-115.6234709255671,-90.60103674621189,-92.7084183881767,2.1073816419648006,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001104659-26-025299,0001533924,AMPLIFY ENERGY CORP.,1311,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-09,RevenueFromContractWithCustomerExcludingAssessedTax,USD,263361000.0,294681000.0,-31320000.0,-10.62844228165372,NetIncomeLoss,USD,43968000.0,12946000.0,31022000.0,239.62613934806117,16.694954833859228,4.393225216420468,12.301729617438758,OperatingIncomeLoss,USD,76940000.0,30420000.0,46520000.0,252.92570677186063,29.21465213148492,10.323027273560223,18.891624857924697,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001104659-26-028315,0001288403,W&T OFFSHORE INC,1311,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-16,RevenueFromContractWithCustomerExcludingAssessedTax,USD,501462000.0,525261000.0,-23799000.0,-4.5308903573651955,NetIncomeLoss,USD,-150062000.0,-87145000.0,-62917000.0,-72.19806070342533,-29.924899593588346,-16.59079962152149,-13.33409997206686,OperatingIncomeLoss,USD,-52803000.0,-42194000.0,-10609000.0,-125.14338531544769,-10.529810833123946,-8.03295885283697,-2.496851980286975,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001104659-26-028971,0001761612,BICYCLE THERAPEUTICS PLC,2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-17,RevenueFromContractWithCustomerExcludingAssessedTax,USD,72586000.0,35275000.0,37311000.0,105.77179305457122,NetIncomeLoss,USD,-218960000.0,-169031000.0,-49929000.0,-29.538368701599115,-301.65596671534456,-479.1807228915663,177.52475617622173,OperatingIncomeLoss,USD,-247065000.0,-209872000.0,-37193000.0,-117.72175421209118,-340.3755545146447,-594.9596031183557,254.58404860371107,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001104659-26-032148,0001863990,"MULTISENSOR AI HOLDINGS, INC.",3827,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-19,RevenueFromContractWithCustomerExcludingAssessedTax,USD,5551000.0,7402000.0,-1851000.0,-25.006754931099703,NetIncomeLoss,USD,-11713000.0,-21495000.0,9782000.0,45.508257734356825,-211.0070257611241,-290.39448797622265,79.38746221509851,OperatingIncomeLoss,USD,-12011000.0,-18881000.0,6870000.0,-63.61421534876331,-216.3754278508377,-255.0797081869765,38.70428033613882,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001104659-26-033373,0001282648,BATTALION OIL CORP,1311,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-23,RevenueFromContractWithCustomerExcludingAssessedTax,USD,164962000.0,193216000.0,-28254000.0,-14.62301258694932,NetIncomeLoss,USD,11879000.0,-31882000.0,43761000.0,137.2592685527884,7.201052363574641,-16.50070387545545,23.701756239030093,OperatingIncomeLoss,USD,-6637000.0,-11745000.0,5108000.0,-56.50915283099191,-4.023350832312897,-6.078689135475323,2.0553383031624266,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
